,claim,label
692,"Today [21 June 2020] for instance, Bolton has a significantly lower case rate than Dundee; Bolton is under this travel ban, Dundee is not.",1
686,â€œThere should be no coercion to take an injection of experimental gene modification technology by implementing travel apartheid.â€,1
655,"Covid-19 vaccines killed more than 15,000 as of June 19",1
5575,"Treatment expenses are 34,000 dollars in the USA, 28,000 euros in Holland, 20,000 euros in Spain, 25,000 euros in France, 24,000 dollars in Israel, 30,000 euros in England and 32,000 euros in Germany; however, it is free in Turkey.",1
5270,Italian MP Sara Cunial on the COVID-19 pandemic Coronavirus Bill Gates vaccines new world order,1
691,BioNTech COVID-19 vaccine has not been licensed and approved for emergency use in Turkey.,1
261,Covid-19 vaccine advisory from Pakistan's health ministry,1
662,"With 90% of those vaccinated using CoronaVac, Chile has high covid-19 cases and deaths.",1
5839,"â€œi donâ€™t understand, for example, when he was talking about china initially, talking about how xi jinping has done this great job and everything was working really well and i, and i wasnâ€™t the only one who suggested that we send people â€” our experts into china â€” see for ourselves.â€",1
690,Faulty testing led to exploding cases of misdiagnosed infections in South Korea,1
251,"Covid-19 had broken out on the cruise ship â€œCarnival Vistaâ€, although all passengers and crew members had been vaccinated.",1
5272,Western Australia recently passed a new COVID-19 vaccine law that forces vaccination at school,1
6332,chinese and cuban doctors arrived in italy to fight the coronavirus,1
6019,photo of an italian doctor waving goodbye to co-doctors as he is about to die due to coronavirus.,1
5326,Major viral outbreaks have originated in China.,1
500,Canadian courts revoked Covid-19 emergency orders and public health measures are now unlawful,1
38,The Red Cross has banned plasma donations from COVID-19 vaccinated because their blood is contaminated.,1
6375,Empty shelves show panic buying in Sri Lanka post coronavirus outbreak,1
431,99.974 percent of the Swiss are not newly infected today and are therefore healthy.,1
5808,ecuador sheds bodies of victims of the coronavirus covid-19 to the sea and infects fish,1
900,"In Uttar Pradesh, bodies of people who died of corona are being thrown in garbage vans.",1
262,The Covid service at the PitiÃ© SalpÃªtriÃ¨re hospital is empty,1
5525,India caught the masked clock up the van with him sick cattle. (Sq. Pretended to be sick).,1
5334,COVID-19 contact-tracing apps like Healthy Together and ABTraceTogether are tracking you and also the people in your phone contacts and Facebook friends lists.,1
6322,coronavirus hotline posters in south africa,1
6381,"The United States ""refused"" COVID-19 diagnostic tests offered by the World Health Organization.",1
